,store,sido,gungu,store_address,_merge
693,서울강동구강일점,서울특별시,강동구,서울특별시강동구아리수로94길19,both
694,서울강동구길동1점,서울특별시,강동구,서울특별시강동구진황도로47길15,both
695,서울강동구길동2점,서울특별시,강동구,서울특별시강동구천호대로199길15,both
696,서울강동구둔촌점,서울특별시,강동구,서울특별시강동구천호대로182길41,both
697,서울강동구명일점[B],서울특별시,강동구,서울강동구동남로67길22,both
698,서울강동구성내1점,서울특별시,강동구,서울특별시강동구천호옛14길34,both
699,서울강동구암사2점,서울특별시,강동구,서울특별시강동구고덕로28길10-5,both
700,서울강동구천호1점,서울특별시,강동구,서울특별시강동구구천면로284,both
701,서울강동구천호2동점,서울특별시,강동구,서울특별시강동구올림픽로78길15-4,both
