업소명,소재지(도로명),소재지전화번호,주된음식
청석골화로숯불구이,인천광역시 남구 인하로262번길 9 (주안동),032) 865 - 7877,돼지갈비
홍콩반점 0410,인천광역시 남구 미추홀대로734번길 17 (주안동),032) 433 - 7853,보쌈
새마을식당,인천광역시 남구 주안로104번길 12 (주안동),032) 426 - 3400,김치찌개
놀부보쌈,인천광역시 남구 미추홀대로734번길 6 (주안동),032) 423 - 4455,보쌈
산골감자탕,인천광역시 남구 인하로 253 (주안동),032) 861 - 7896,감자탕
신한우왕국,인천광역시 남구 인주대로 355 (주안동),032) 873 - 1237,활어회
우마루,인천광역시 남구 인주대로 379-1 (주안동),032) 864 - 1244,차돌박이샤브샤브
소양강민물장어,인천광역시 남구 미추홀대로 609 (주안동),032) 868 - 4477,장어구이
닭이봉춘천닭갈비,인천광역시 남구 인하로 289 (주안동),032) 425 - 5707,닭갈비
고려한방삼계탕,"인천광역시 남구 인주대로 404 (주안동,,16,13)",032) 431 - 1133,삼계탕
무한버섯나라,"인천광역시 남구 인주대로434번길 6, 2층 (주안동)",032) 428 - 9666,돼지갈비
정은주쭈꾸미,인천광역시 남구 주안중로 39 (주안동),032) 433 - 6924,쭈꾸미볶음
이필배 진짜루 명태촌,인천광역시 남구 인하로339번길 3 (주안동),032) 215 - 4874,명태조림
한우마을,인천광역시 남구 인주대로 448 (주안동),032) 423 - 8074,돼지갈비
서울뷔페숯불갈비,"인천광역시 남구 경원대로 740 (주안동,,20102호)",032) 439 - 4342,부페
명가갈비,"인천광역시 남구 주안중로 25 (주안동,103호)",032) 420 - 1255,숯불갈비
영갈비,인천광역시 남구 석바위로74번길 5-1 (주안동),032) 431 - 2214,돼지갈비
길정생고기,인천광역시 남구 석바위로80번길 12 (주안동),032) 438 - 2626,갈치조림
칭칭차이나,"인천광역시 남구 석바위로 68 (주안동,(105,106,107,108호))",032) 427 - 4444,"자장면, 짬뽕"
우정쌈밥,"인천광역시 남구 주안중로9번길 30, 1,2층 (주안동)",032) 428 - 3999,굴영양밥
본전삼계탕,인천광역시 남구 미추홀대로698번길 36 (주안동),032) 428 - 0554,삼계탕
가평보리밥집,인천광역시 남구 주안중로 1 (주안동),032) 433 - 3345,벤댕이회무침
주안삼계탕,인천광역시 남구 미추홀대로 688 (주안동),032) 441 - 6161,삼계탕
서문삼계탕,인천광역시 남구 미추홀대로 690 (주안동),032) 425 - 3300,삼계탕
청실홍실,인천광역시 남구 미추홀대로 697 (주안동),032) 876 - 5868,모밀국수
용동손칼국수식당,인천광역시 남구 경인로325번길 22-24 (주안동),032) 864 - 9396,손칼국수
삼원일식,인천광역시 남구 경인로325번길 14 (주안동),032) 867 - 7364,생선회
허벌난횟집,인천광역시 남구 미추홀대로 701 (주안동),032) 872 - 8858,모듬회
대박집,"인천광역시 남구 미추홀대로 707 (주안동,1층)",032) 861 - 4147,삼겹살
