20170201|04|101 |1|2|427|145|59|92|77|14|814|
20170201|04|190 |0|1|83|7|9|11|9|2|121|
20170201|04|190 |0|2|319|109|37|20|28|22|535|
20170201|04|190 |1|1|50|5|6|29|10|3|103|
20170201|04|190 |1|2|164|60|30|61|33|6|354|
20170201|04|253 |0|1|195|10|18|36|14|1|274|
20170201|04|253 |0|2|786|73|44|58|59|42|1062|
20170201|04|253 |1|1|64|4|11|39|10|3|131|
20170201|04|253 |1|2|259|64|28|71|80|15|517|
20170201|04|254 |0|1|85|11|15|21|17|2|151|
20170201|04|254 |0|2|297|40|18|15|108|14|492|
20170201|04|254 |1|1|78|9|11|23|10|2|133|
20170201|04|254 |1|2|259|34|21|23|44|11|392|
20170201|04|651 |0|1|33|0|1|4|5|0|43|
20170201|04|651 |0|2|92|16|5|9|5|9|136|
20170201|04|651 |1|1|36|1|0|0|2|3|42|
20170201|04|651 |1|2|121|27|5|2|6|6|167|
20170201|04|685 |0|1|79|6|9|24|13|2|133|
20170201|04|685 |0|2|232|23|19|22|98|14|408|
20170201|04|685 |1|1|28|2|7|16|11|1|65|
20170201|04|685 |1|2|65|19|35|19|62|4|204|
20170201|05|101 |0|1|566|35|46|38|10|10|705|
20170201|05|101 |0|2|2410|169|120|62|28|85|2874|
20170201|05|101 |1|1|238|28|31|102|14|16|429|
20170201|05|101 |1|2|1093|198|180|181|139|33|1824|
20170201|05|190 |0|1|235|13|30|28|5|3|314|
20170201|05|190 |0|2|1061|132|48|34|29|40|1344|
20170201|05|190 |1|1|93|10|19|60|12|6|200|
20170201|05|190 |1|2|319|90|70|107|104|16|706|
20170201|05|253 |0|1|587|30|56|48|20|6|747|
20170201|05|253 |0|2|3059|150|75|61|104|105|3554|
20170201|05|253 |1|1|191|13|23|81|30|15|353|
20170201|05|253 |1|2|962|90|62|116|173|43|1446|
20170201|05|254 |0|1|270|16|23|37|44|4|394|
20170201|05|254 |0|2|1156|58|40|37|163|51|1505|
20170201|05|254 |1|1|164|14|11|31|24|13|257|
20170201|05|254 |1|2|774|30|45|31|78|31|989|
20170201|05|651 |0|1|60|2|3|7|4|1|77|
20170201|05|651 |0|2|237|24|7|17|39|11|335|
20170201|05|651 |1|1|63|4|3|4|2|4|80|
20170201|05|651 |1|2|258|20|8|5|17|19|327|
20170201|05|685 |0|1|198|7|36|61|62|3|367|
20170201|05|685 |0|2|858|34|31|22|164|44|1153|
20170201|05|685 |1|1|50|7|11|39|17|3|127|
20170201|05|685 |1|2|115|33|45|35|155|8|391|
20170201|06|101 |0|1|805|46|73|41|18|17|1000|
20170201|06|101 |0|2|4014|221|442|49|40|136|4902|
20170201|06|101 |1|1|476|28|48|75|26|37|690|
20170201|06|101 |1|2|2942|277|363|121|124|161|3988|
20170201|06|190 |0|1|395|46|36|29|4|7|517|
20170201|06|190 |0|2|2195|172|114|33|34|106|2654|
20170201|06|190 |1|1|158|19|46|74|23|12|332|
20170201|06|190 |1|2|729|164|156|142|102|55|1348|
20170201|06|253 |0|1|922|49|77|57|22|4|1131|
20170201|06|253 |0|2|5123|213|150|63|82|232|5863|
